time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,DCL,MA,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
1009981800,82.67,90.94,81.32001,88.57001,,0,,,,0,0,,0.1477386550914259,0,0,0,0.1477386550914259,1,0.1477386550914259,,0,0,0,0
1041517800,87.7,97.66,80.91,85.45,,0,,,,0,0,,-0.0434702905043819,0,0,0,-0.0434702905043819,1,-0.19120894559580778,,0,0,0,0
1073053800,85.09,91.48,80.50999,88.55,,0,,,,0,0,,-0.017374335683525272,0,0,0,-0.017374335683525272,1,0.026095954820856627,,0,0,0,0
1104762600,88.17999,97,87.53,91.89999,,0,,,,0,0,,0.14004345959272188,0,0,0,0.14004345959272188,1,0.15741779527624716,,0,0,0,0
1136298600,91.59,92.76849,82.56261,88.42999,,0,,,,0,0,,-0.06938280353734869,0,0,0,-0.06938280353734869,1,-0.20942626313007057,-0.06938280353734866,0,0,0,0
1167834600,89.22,96.36,82.2,93.045,,0,,,,0,0,,0.0747152661880299,0,0,0,0.0747152661880299,1,0.14409806972537859,-0.07302338890339596,0,0,0,0
1199284200,93.25,123.14999,88.59,119.35001,,0,,,,0,0,,0.09687539656736353,0,0,0,0.09687539656736353,1,0.022160130379333634,0.14034568707174544,0,0,0,0
1230906600,120.05,120.45,87.56,89.89,,0,,,,0,0,,-0.10889579768437893,0,0,0,-0.10889579768437893,1,-0.20577119425174245,-0.09152146200085365,0,0,0,0
1262615400,89.84,109.34,87.3,94.12,,0,,,,0,0,,0.04366545460473339,0,0,0,0.04366545460473339,1,0.15256125228911233,-0.09637800498798849,0,0,0,0
1294065000,93.2,125.03,88.14,121.25,,0,,,,0,0,,0.01572478593516806,0,0,0,0.01572478593516806,1,-0.02794066866956533,0.08510758947251676,0,0,0,0
1325601000,119.42,132.215,109.69,121.17999,,0,,,,0,0,,-0.10675140939980783,0,0,0,-0.10675140939980783,1,-0.12247619533497589,-0.1814666755878377,0,0,0,0
1357137000,119.75999,124.25999,101.17,101.86,,0,,,,0,0,,-0.11806110461859515,0,0,0,-0.11806110461859515,1,-0.011309695218787316,-0.21493650118595864,0,0,0,0
1388673000,101.72,127.72,101.69,125.92,,0,,,,0,0,,0.02810852587393062,0,0,0,0.02810852587393062,1,0.14616963049252577,0.13700432355830958,0,0,0,0
1420209000,126.29,138.5,114.88,120.58,,0,,,,0,0,,-0.09116044958490264,0,0,0,-0.09116044958490264,1,-0.11926897545883326,-0.13482590418963603,0,0,0,0
1451917800,121.93,143.62,116.8,119.13,,0,,,,0,0,,-0.01546556285874292,0,0,0,-0.01546556285874292,1,0.07569488672615973,-0.031190348793910944,0,0,0,0
1483453800,118.41,129.565,116.49,126.86,,0,,,,0,0,,0.06855998258413668,0,0,0,0.06855998258413668,1,0.0840255454428796,0.17531139198394455,0,0,0,0
1514903400,126.49,126.51,111.9,121.51,,0,,,,0,0,,0.07908098436979656,0,0,0,0.07908098436979656,1,0.010521001785659886,0.19714208898839175,0,0,0,0
1546439400,121.66,148.9,118.64,135.48,,0,,,,0,0,,-0.14460505537125667,0,0,0,-0.14460505537125667,1,-0.22368603974105322,-0.17271358124518726,0,0,0,0
1577975400,136.79,179.7,135.905,157.73,,0,,,,0,0,,-0.017842366763791372,0,0,0,-0.017842366763791372,1,0.1267626886074653,0.07331808282111131,0,0,0,0
1609770600,156.67,158.18,133.19,148.19,,0,,,,0,0,,-0.1273358058798845,0,0,0,-0.1273358058798845,1,-0.10949343911609312,-0.11187024302114154,0,0,0,0
1641220200,146.41,146.94,91.85,99.56,,,,,,0,,,-0.22862012536427148,0,0,0,-0.22862012536427148,1,-0.10128431948438699,-0.2971801079484081,0,1,0,0
1672756200,102.2,109.352,82.42,98.88,,,,,,0,,,0.15368011901200024,0,0,0,0.15368011901200024,1,0.38230024437627175,0.07459913464220375,0,1,0,0
1704205800,98.2293,101.64,86.98,87.33,,,,,,0,,,-0.17038559095993114,0,0,0,-0.17038559095993114,1,-0.3240657099719314,-0.025780535588674436,0,0,0,0
1735828200,87.8,94.09,83.295,87.16,,,,,,0,,,-0.27723659660740635,0,0.16619966884711998,-0.4,-0.04343626545452629,1,-0.10685100564747521,-0.25939422984361493,0,1,0,0
1767364200,87.4,90.86,82.77,85.51,,,,,,0,,,0.16754358776833195,0,0.5,-0.24,-0.09245641223166805,1,0.4447801843757383,0.29487939364821647,0,1,0,0